,study id,study link,name of data file in study,name of metadata column,phenotype keyword,label of class 1,label of class 0,technology platform,technique category,affiliation,organism,organism category,release date,number of samples in class 0,number of samples in class 1,number of samples,number of features,fatness,score of the best method,score of the best univariate method,score of the best multivariate method,name of the best multivariate method,tendency,text description of the dataset,text description embedding PC0,text description embedding PC1
MTBLS311-mtbls311LCMSMSmassspectrometry-BicarbonatetreatmentT-BicarbonatetreatmentC,MTBLS311,https://www.ebi.ac.uk/metabolights/editor/MTBLS311,m_mtbls311_LC_MS_MS_mass_spectrometry_v2_maf.tsv,Factor Value[Bicarbonate treatment],treatment,T,C,API 4000 QTRAP (AB Sciex),LCMS,"Department of Biology, Genetics Institute, University of Florida, Gainesville, FL 32610, United States of America ",Arabidopsis thaliana,plants,2017-04-25,144.0,144.0,288,238,0.8263888888888888,0.6618064961153789,0.6096789020654948,0.6618064961153789,SVMlinear,multivariate models performs better than univariate models,phenotype description  bicarbonate treatment  values  t  c  organism  arabidopsis thaliana,0.257531857409494,0.0366419470621712
MTBLS312-mtbls312GCMS-Carbondioxidetreatment800-Carbondioxidetreatment400,MTBLS312,https://www.ebi.ac.uk/metabolights/editor/MTBLS312,m_mtbls312_GC_MS_v2_maf.tsv,Factor Value[Carbon dioxide treatment],treatment,400,800,Agilent 5975E GC/MSD (Agilent),?,"Department of Biology, Genetics Institute, University of Florida, Gainesville, FL 32610, United States of America ",Brassica napus,plants,2017-04-25,20.0,20.0,40,34,0.85,0.5992559523809523,0.5992559523809523,0.4183035714285714,XGBoost,univariate models performs better than multivariate models,phenotype description  carbon dioxide treatment  values  400  800  organism  brassica napus,0.3172956352024586,-0.0160631980864378
MTBLS312-mtbls312HPLCMSMS-Carbondioxidetreatment800-Carbondioxidetreatment400,MTBLS312,https://www.ebi.ac.uk/metabolights/editor/MTBLS312,m_mtbls312_HPLC_MS_MS_v2_maf.tsv,Factor Value[Carbon dioxide treatment],treatment,400,800,API 4000 QTRAP (AB Sciex),LCMS,"Department of Biology, Genetics Institute, University of Florida, Gainesville, FL 32610, United States of America ",Brassica napus,plants,2017-04-25,25.0,25.0,50,175,3.5,0.9348958333333334,0.9348958333333334,0.9072916666666668,ElasticNet,univariate models performs better than multivariate models,phenotype description  carbon dioxide treatment  values  400  800  organism  brassica napus,0.3173434941011562,-0.0160837095266931
MTBLS312-mtbls312UPLCMS-Carbondioxidetreatment800-Carbondioxidetreatment400,MTBLS312,https://www.ebi.ac.uk/metabolights/editor/MTBLS312,m_mtbls312_UPLC_MS_v2_maf.tsv,Factor Value[Carbon dioxide treatment],treatment,400,800,Quattro micro API (Waters),?,"Department of Biology, Genetics Institute, University of Florida, Gainesville, FL 32610, United States of America ",Brassica napus,plants,2017-04-25,20.0,20.0,40,147,3.675,0.8400297619047619,0.8040178571428571,0.8400297619047619,RF,multivariate models performs better than univariate models,phenotype description  carbon dioxide treatment  values  400  800  organism  brassica napus,0.3173209154586413,-0.0161466197123822
MTBLS318-MTBLS31813405metaboliteprofilingmassspectrometry-mutants-wildtype,MTBLS318,https://www.ebi.ac.uk/metabolights/editor/MTBLS318,m_MTBLS318_13405_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Genotype],mutation,spxB mutant,WT,Q Exactive,LCMS,stjude.org,Streptococcus pneumoniae,Bacteria,2022-02-23,18.0,18.0,36,368,10.22222222222222,1.0,1.0,1.0,DT,multivariate and univariate models are equivalent,phenotype description  genotype  values  spxb mutant  wt  organism  streptococcus pneumoniae,0.0779116629741429,0.1770748191788337
MTBLS319-tolueneexpmetaboliteprofilingmassspectrometry-toluene-Control,MTBLS319,https://www.ebi.ac.uk/metabolights/editor/MTBLS319,m_toluene_exp_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Stress],other,Gas toluene,Control,Exactive (Thermo Scientific),?,univrsity of manchester,Pseudomonas putida,Bacteria,2016-08-23,36.0,60.0,96,150,1.5625,0.7513958263958264,0.7513958263958264,0.7255827505827506,GBtree,univariate models performs better than multivariate models,phenotype description  stress  values  gas toluene  control  organism  pseudomonas putida,0.2170534529043536,0.1587217190997915
MTBLS319-tolueneexpmetaboliteprofilingmassspectrometry-toluenegas-tolueneliquid,MTBLS319,https://www.ebi.ac.uk/metabolights/editor/MTBLS319,m_toluene_exp_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Stress],other,Gas toluene,Toluene liquid,Exactive (Thermo Scientific),?,univrsity of manchester,Pseudomonas putida,Bacteria,2016-08-23,24.0,36.0,60,150,2.5,0.922842261904762,0.7787946428571428,0.922842261904762,PLSDA,multivariate models performs better than univariate models,phenotype description  stress  values  gas toluene  toluene liquid  organism  pseudomonas putida,0.2219074529844817,0.1189492441262499
MTBLS320-tolueneexpmetaboliteprofilingmassspectrometry-mutantstrain-wildtypegenotype,MTBLS320,https://www.ebi.ac.uk/metabolights/editor/MTBLS320,m_toluene_exp_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[geneknockout],mutation,mutant strain,wild type genotype,Exactive (Thermo Scientific),?,university of manchester,Pseudomonas putida,Bacteria,2016-08-23,37.0,72.0,109,200,1.834862385321101,0.9179198762838467,0.8063958916900094,0.9179198762838467,PLSDA,multivariate models performs better than univariate models,phenotype description  geneknockout  values  mutant strain  wild type genotype  organism  pseudomonas putida,0.1511580245646397,0.1630211162102509
MTBLS320-tolueneexpmetaboliteprofilingmassspectrometry-stress-nostress,MTBLS320,https://www.ebi.ac.uk/metabolights/editor/MTBLS320,m_toluene_exp_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[stress],other,0.2,0,Exactive (Thermo Scientific),?,university of manchester,Pseudomonas putida,Bacteria,2016-08-23,36.0,72.0,108,200,1.851851851851852,0.6697847393619453,0.6697847393619453,0.5372971442364824,AdaBoost,univariate models performs better than multivariate models,phenotype description  stress  values  0.2  0  organism  pseudomonas putida,0.1551823635862968,0.1172080954310419
MTBLS321-gcqtofmetaboliteprofilingmassspectrometryv2maf-HIAE-Healthy,MTBLS321,https://www.ebi.ac.uk/metabolights/editor/MTBLS321,m_pcos_gc-qtof_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Disease],disease,HIAE,Healthy,Agilent 7200 Accurate-Mass Q-TOF,LCMS,URV,?,other or unknown,2016-09-22,14.0,11.0,25,33,1.32,0.8645833333333333,0.8645833333333333,0.8645833333333333,RF,multivariate and univariate models are equivalent,phenotype description  disease  values  hiae  healthy  organism  nan,-0.0614961602269061,0.1078897191132022
MTBLS327-lypodystrophymetaboliteprofilingmassspectrometry-genotypeobob-genotypeWT,MTBLS327,https://www.ebi.ac.uk/metabolights/editor/MTBLS327,m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[genotype],mutation,obob,WT,Exactive (Thermo Scientific),?,"Medical Research Council, Human Nutrtion Research",Mus musculus,Mus musculus,2017-03-02,20.0,19.0,39,45,1.1538461538461535,1.0,1.0,1.0,GBtree,multivariate and univariate models are equivalent,phenotype description  genotype  values  obob  wt  organism  mus musculus,-0.0468950943059244,0.0793733786773538
MTBLS334-leanpegobcys-PEGOBCys10Cys13-saline,MTBLS334,https://www.ebi.ac.uk/metabolights/editor/MTBLS334,m_lean_peg-ob_cys10_cys13_v2_maf.tsv,Factor Value[Treatment ],treatment,"PEG-OB(Cys10,Cys13)",saline,Orbitrap Elite (Thermo Scientific),LCMS,Queen's University Belfast,?,other or unknown,2017-07-25,15.0,21.0,36,39,1.0833333333333333,1.0,0.8812499999999999,1.0,GBtree,multivariate models performs better than univariate models,phenotype description  treatment   values  peg-ob(cys10 cys13)  saline  organism  nan,0.1068411271274059,0.351690441356737
MTBLS334-pegobcys-PEGOBCys10Cys13-saline,MTBLS334,https://www.ebi.ac.uk/metabolights/editor/MTBLS334,m_obese_peg-ob_cys10_cys13_v2_maf.tsv,Factor Value[Treatment ],treatment,"PEG-OB(Cys10,Cys13)",saline,Orbitrap Elite (Thermo Scientific),LCMS,Queen's University Belfast,?,other or unknown,2017-07-25,15.0,17.0,32,31,0.96875,1.0,0.9354166666666668,1.0,SVMlinear,multivariate models performs better than univariate models,phenotype description  treatment   values  peg-ob(cys10 cys13)  saline  organism  nan,0.1068411271274059,0.351690441356737
MTBLS345-mtbls345metaboliteprofilingmassspectrometry-M-F,MTBLS345,https://www.ebi.ac.uk/metabolights/editor/MTBLS345,m_mtbls345_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Sex],other,M,F,5975C Series GC/MSD (Agilent),?,PNNL,Mus musculus,Mus musculus,2016-10-05,48.0,48.0,96,122,1.2708333333333333,0.5951704545454546,0.5951704545454546,0.5430082070707071,PLSDA,univariate models performs better than multivariate models,phenotype description  sex  values  m  f  organism  mus musculus,-0.095666145303121,0.0310340485223451
MTBLS345-mtbls345metaboliteprofilingmassspectrometry-FoodLBNL-FoodUNC,MTBLS345,https://www.ebi.ac.uk/metabolights/editor/MTBLS345,m_mtbls345_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Food],other,LBNL,UNC,5975C Series GC/MSD (Agilent),?,PNNL,Mus musculus,Mus musculus,2016-10-05,48.0,48.0,96,122,1.2708333333333333,1.0,0.951388888888889,1.0,GBtree,multivariate models performs better than univariate models,phenotype description  food  values  lbnl  unc  organism  mus musculus,-0.0031941445112076,0.1174500086560867
MTBLS351-GCxGCmassspectrometry-T2D-nondiabeticCTRL,MTBLS351,https://www.ebi.ac.uk/metabolights/editor/MTBLS351,m_GCxGC_mass_spectrometry_v2_maf.tsv,Factor Value[T2D status],other,T2D,"non-diabetic, CTRL",GCxGC-TOFMS (LECO Pegasus 4D),?,University of Copenhagen + Turku Centre for Biotechnology + University of Örebro,Homo sapiens,Homo sapiens,?,75.0,75.0,150,325,2.1666666666666665,0.8647488642893054,0.8321509934101846,0.8647488642893054,XGBoost,multivariate models performs better than univariate models,phenotype description  t2d status  values  t2d  non-diabetic  ctrl  organism  homo sapiens,-0.2018623259801091,-0.0229577700333604
MTBLS351-UPLCmassspectrometry-T2D-nondiabeticCTRL,MTBLS351,https://www.ebi.ac.uk/metabolights/editor/MTBLS351,m_UPLC_mass_spectrometry_v2_maf.tsv,Factor Value[T2D status],other,T2D,"non-diabetic, CTRL",UPLC-QTOFMS (Waters QTOF Premier),?,University of Copenhagen + Turku Centre for Biotechnology + University of Örebro,Homo sapiens,Homo sapiens,?,75.0,75.0,150,879,5.86,0.8467084590246354,0.800785233965381,0.8467084590246354,PLSDA,multivariate models performs better than univariate models,phenotype description  t2d status  values  t2d  non-diabetic  ctrl  organism  homo sapiens,-0.2018623259801091,-0.0229577700333604
MTBLS351-UPLCmassspectrometry-MetabolicSyndrome1-MetabolicSyndrome0,MTBLS351,https://www.ebi.ac.uk/metabolights/editor/MTBLS351,m_UPLC_mass_spectrometry_v2_maf.tsv,Factor Value[Metabolic Syndrome],disease,1,0,UPLC-QTOFMS (Waters QTOF Premier),?,University of Copenhagen + Turku Centre for Biotechnology + University of Örebro,Homo sapiens,Homo sapiens,?,146.0,224.0,370,879,2.375675675675676,0.7428992913711974,0.7374884114541846,0.7428992913711974,SVMlinear,multivariate and univariate models are equivalent,phenotype description  metabolic syndrome  values  1  0  organism  homo sapiens,-0.2576272957984452,-0.0954761277587287
MTBLS351-GCxGCmassspectrometry-MetabolicSyndrome1-MetabolicSyndrome0,MTBLS351,https://www.ebi.ac.uk/metabolights/editor/MTBLS351,m_GCxGC_mass_spectrometry_v2_maf.tsv,Factor Value[Metabolic Syndrome],disease,1,0,GCxGC-TOFMS (LECO Pegasus 4D),?,University of Copenhagen + Turku Centre for Biotechnology + University of Örebro,Homo sapiens,Homo sapiens,?,146.0,224.0,370,325,0.8783783783783784,0.7113362058135855,0.6512317247948864,0.7113362058135855,GBtree,multivariate models performs better than univariate models,phenotype description  metabolic syndrome  values  1  0  organism  homo sapiens,-0.2576272957984452,-0.0954761277587287
MTBLS354-capmetaboliteprofilingmassspectrometry-communityacquiredpneumonia-noncommunityacquiredpneumonia,MTBLS354,https://www.ebi.ac.uk/metabolights/editor/MTBLS354,m_cap_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[disease state],disease,community acquired pneumonia,non-community acquired pneumonia,6540 Q-TOF LC/MS (Agilent),LCMS,university of Hong Kong,Homo sapiens,Homo sapiens,2016-08-11,97.0,142.0,239,7,0.0292887029288702,0.9029542716475566,0.862225269898818,0.9029542716475566,AdaBoost,multivariate models performs better than univariate models,phenotype description  disease state  values  community acquired pneumonia  non-community acquired pneumonia  organism  homo sapiens,-0.242651155759193,-0.0234834298685069
MTBLS356-apsmetaboliteprofilingNMRspectroscopy-APSpatient-Healthydonor,MTBLS356,https://www.ebi.ac.uk/metabolights/editor/MTBLS356,m_aps_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,Factor Value[Participant type],other,APS patient,Healthy donor,Bruker,?,University of Salerno - Pharmacy Department,Homo sapiens,Homo sapiens,2017-09-06,27.0,27.0,54,50,0.925925925925926,0.8077380952380953,0.757142857142857,0.8077380952380953,PLSDA,multivariate models performs better than univariate models,phenotype description  participant type  values  aps patient  healthy donor  organism  homo sapiens,-0.2599821034522969,-0.0785607353818517
MTBLS358-TAGmassspectrometry-NS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_TAG_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,NS,COPD,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,21,0.1354838709677419,0.5871886446886447,0.5567708333333332,0.5871886446886447,SVMlinear,multivariate models performs better than univariate models,phenotype description  study group  values  ns  copd  organism  homo sapiens,-0.2782950369010621,-0.0698088804825905
MTBLS358-TAGmassspectrometry-FS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_TAG_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,FS,COPD,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,117.0,38.0,155,21,0.1354838709677419,0.5399038461538461,0.5,0.5399038461538461,SVMlinear,no models performs better than the baseline,phenotype description  study group  values  fs  copd  organism  homo sapiens,-0.2863142421725455,-0.0963863152791931
MTBLS358-EICOmassspectrometry-CS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_EICO_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,CS,COPD,Liquid Chromatography MS - negative - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,17,0.1096774193548387,0.5621215062111802,0.5303571428571429,0.5621215062111802,SVMrbf,multivariate models performs better than univariate models,phenotype description  study group  values  cs  copd  organism  homo sapiens,-0.2888673985148323,-0.0971940569411422
MTBLS358-EICOmassspectrometry-FS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_EICO_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,FS,COPD,Liquid Chromatography MS - negative - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,117.0,38.0,155,17,0.1096774193548387,0.5966643772893773,0.5613839285714286,0.5966643772893773,SVMrbf,multivariate models performs better than univariate models,phenotype description  study group  values  fs  copd  organism  homo sapiens,-0.2862827735845739,-0.0962850688055214
MTBLS358-CERmassspectrometry-NS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_CER_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,NS,COPD,Liquid Chromatography MS - positive - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,56,0.3612903225806451,0.6071229495142538,0.6071229495142538,0.5959639771460423,DT,multivariate and univariate models are equivalent,phenotype description  study group  values  ns  copd  organism  homo sapiens,-0.2782950369010621,-0.0698088804825905
MTBLS358-EICOmassspectrometry-COPD-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_EICO_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,COPD,CS,Liquid Chromatography MS - negative - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,17,0.1096774193548387,0.5855585638194334,0.5462765269151139,0.5855585638194334,SVMlinear,multivariate models performs better than univariate models,phenotype description  study group  values  copd  cs  organism  homo sapiens,-0.2820906521705588,-0.1011068116508878
MTBLS358-CERmassspectrometry-FS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_CER_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,FS,COPD,Liquid Chromatography MS - positive - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,117.0,38.0,155,56,0.3612903225806451,0.5412225274725274,0.50625,0.5412225274725274,DT,no models performs better than the baseline,phenotype description  study group  values  fs  copd  organism  homo sapiens,-0.2862827735845739,-0.0962850688055214
MTBLS358-SHOTmassspectrometry-COPD-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_SHOT_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,COPD,CS,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,123,0.7935483870967742,0.6733406438569483,0.6733406438569483,0.6659540288616376,SVMlinear,multivariate and univariate models are equivalent,phenotype description  study group  values  copd  cs  organism  homo sapiens,-0.2820906521705588,-0.1011068116508878
MTBLS358-EICOmassspectrometry-NS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_EICO_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,NS,COPD,Liquid Chromatography MS - negative - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,17,0.1096774193548387,0.6140754897276637,0.5714983974358975,0.6140754897276637,RF,multivariate models performs better than univariate models,phenotype description  study group  values  ns  copd  organism  homo sapiens,-0.2782950369010621,-0.0698088804825905
MTBLS358-CERmassspectrometry-CS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_CER_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,CS,COPD,Liquid Chromatography MS - positive - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,56,0.3612903225806451,0.5615352084509693,0.5505749458874458,0.5615352084509693,AdaBoost,multivariate and univariate models are equivalent,phenotype description  study group  values  cs  copd  organism  homo sapiens,-0.2888673985148323,-0.0971940569411422
MTBLS358-CERmassspectrometry-COPD-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_CER_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,COPD,CS,Liquid Chromatography MS - positive - reverse phase,LCMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,56,0.3612903225806451,0.5974164874980092,0.5441576086956521,0.5974164874980092,SVMlinear,multivariate models performs better than univariate models,phenotype description  study group  values  copd  cs  organism  homo sapiens,-0.2820906521705588,-0.1011068116508878
MTBLS358-TAGmassspectrometry-CS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_TAG_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,CS,COPD,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,21,0.1354838709677419,0.5517326016374929,0.5303841991341991,0.5517326016374929,SVMlinear,multivariate models performs better than univariate models,phenotype description  study group  values  cs  copd  organism  homo sapiens,-0.2888673985148323,-0.0971940569411422
MTBLS358-TAGmassspectrometry-COPD-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_TAG_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,COPD,CS,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,21,0.1354838709677419,0.5843155536090319,0.5107185990338164,0.5843155536090319,PLSDA,multivariate models performs better than univariate models,phenotype description  study group  values  copd  cs  organism  homo sapiens,-0.2820906521705588,-0.1011068116508878
MTBLS358-SHOTmassspectrometry-NS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_SHOT_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,NS,COPD,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,123,0.7935483870967742,0.6026778746615703,0.5684958791208792,0.6026778746615703,SVMlinear,multivariate models performs better than univariate models,phenotype description  study group  values  ns  copd  organism  homo sapiens,-0.2782950369010621,-0.0698088804825905
MTBLS358-SHOTmassspectrometry-FS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_SHOT_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,FS,COPD,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,117.0,38.0,155,123,0.7935483870967742,0.57284913003663,0.57284913003663,0.5296348443223443,PLSDA,univariate models performs better than multivariate models,phenotype description  study group  values  fs  copd  organism  homo sapiens,-0.2862827735845739,-0.0962850688055214
MTBLS358-SHOTmassspectrometry-CS-othergroups,MTBLS358,https://www.ebi.ac.uk/metabolights/editor/MTBLS358,m_SHOT_mass_spectrometry_v2_maf.tsv,Factor Value[Study Group],disease,CS,COPD,Direct infusion MS,DIMS,Philip Morris International R&D	Zora Biosciences Oy,Homo sapiens,Homo sapiens,2017-02-20,116.0,39.0,155,123,0.7935483870967742,0.5397893727649162,0.5397893727649162,0.527719861660079,SVMrbf,no models performs better than the baseline,phenotype description  study group  values  cs  copd  organism  homo sapiens,-0.2888673985148323,-0.0971940569411422
MTBLS370-biofilmsmetaboliteprofilingmassspectrometry-Candidaalbicans-otherorganisms,MTBLS370,https://www.ebi.ac.uk/metabolights/editor/MTBLS370,m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Characteristics[Organism],other,Candida albicans,Bos taurus,QExactive GC (Thermo Scientific),?,University of Glasgow + ThermoFisher Scientific,multiple,other or unknown,2017-02-20,23.0,12.0,35,39,1.1142857142857143,0.9510416666666668,0.8270833333333334,0.9510416666666668,GBtree,multivariate models performs better than univariate models,phenotype description  organism  values  candida albicans  bos taurus  organism  multiple,0.0493367845500754,-0.0213112857097014
MTBLS370-biofilmsmetaboliteprofilingmassspectrometry-Staphylococcusaureus-otherorganisms,MTBLS370,https://www.ebi.ac.uk/metabolights/editor/MTBLS370,m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Characteristics[Organism],other,Staphylococcus aureus,Bos taurus,QExactive GC (Thermo Scientific),?,University of Glasgow + ThermoFisher Scientific,multiple,other or unknown,2017-02-20,23.0,12.0,35,39,1.1142857142857143,0.90625,0.90625,0.90625,AdaBoost,multivariate and univariate models are equivalent,phenotype description  organism  values  staphylococcus aureus  bos taurus  organism  multiple,0.0514939636641552,-0.0129757279161325
MTBLS370-biofilmsmetaboliteprofilingmassspectrometry-Bostaurus-otherorganisms,MTBLS370,https://www.ebi.ac.uk/metabolights/editor/MTBLS370,m_biofilms_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Characteristics[Organism],other,Bos taurus,Staphylococcus aureus,QExactive GC (Thermo Scientific),?,University of Glasgow + ThermoFisher Scientific,multiple,other or unknown,2017-02-20,24.0,11.0,35,39,1.1142857142857143,1.0,1.0,1.0,AdaBoost,multivariate and univariate models are equivalent,phenotype description  organism  values  bos taurus  staphylococcus aureus  organism  multiple,0.0520821404095465,0.0047482990601671
MTBLS375-arabidopsismetabolomicsmetaboliteprofilingmassspectrometry-aftertreatment-notreatment,MTBLS375,https://www.ebi.ac.uk/metabolights/editor/MTBLS375,m_arabidopsis_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Time after treatment],treatment,1,no treatment,Exactive (Thermo Scientific),?,China Agricultural University,Arabidopsis thaliana,plants,2017-10-23,10.0,30.0,40,109,2.725,1.0,1.0,1.0,DT,multivariate and univariate models are equivalent,phenotype description  time after treatment  values  1  no treatment  organism  arabidopsis thaliana,0.21175731650156,0.0121386965811045
MTBLS375-arabidopsismetabolomicsmetaboliteprofilingmassspectrometry-opr3-wildtype,MTBLS375,https://www.ebi.ac.uk/metabolights/editor/MTBLS375,m_arabidopsis_metabolomics_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[genotype],mutation,opr3,wild type,Exactive (Thermo Scientific),?,China Agricultural University,Arabidopsis thaliana,plants,2017-10-23,10.0,40.0,50,109,2.18,1.0,1.0,1.0,AdaBoost,multivariate and univariate models are equivalent,phenotype description  genotype  values  opr3  wild type  organism  arabidopsis thaliana,0.2550325882041368,-0.1396981407275561
MTBLS376-mtbls376NEGmassspectrometry-Antibiotictreatment-untreated,MTBLS376,https://www.ebi.ac.uk/metabolights/editor/MTBLS376,m_mtbls376_NEG_mass_spectrometry_v2_maf.tsv,Factor Value[Antibiotic treatment],treatment,treated with antibiotics,untreated,6210 TOF LC/MS (Agilent),?,"Dairy Science and Technology Institute, Kyodo Milk Industry Co. Ltd.",Mus musculus,Mus musculus,2017-02-20,40.0,38.0,78,8,0.1025641025641025,0.9791666666666666,0.9635416666666669,0.9791666666666666,ElasticNet,multivariate and univariate models are equivalent,phenotype description  antibiotic treatment  values  treated with antibiotics  untreated  organism  mus musculus,0.0150218472298841,0.3330272176627616
MTBLS376-gutmicrobiotatreatedwithantibioticsmetaboliteprofilingmassspectrometry-Antibiotictreatment-untreated,MTBLS376,https://www.ebi.ac.uk/metabolights/editor/MTBLS376,m_gut_microbiota_treated_with_antibiotics_metabolite_profiling_mass_spectrometry_v2_maf.tsv,Factor Value[Antibiotic treatment],treatment,treated with antibiotics,untreated,6210 TOF LC/MS (Agilent),?,"Dairy Science and Technology Institute, Kyodo Milk Industry Co. Ltd.",Mus musculus,Mus musculus,2017-02-20,40.0,38.0,78,57,0.7307692307692307,1.0,0.9635416666666669,1.0,SVMlinear,multivariate models performs better than univariate models,phenotype description  antibiotic treatment  values  treated with antibiotics  untreated  organism  mus musculus,0.0150218472298841,0.3330272176627616
MTBLS376-mtbls376POSmassspectrometry-Antibiotictreatment-untreated,MTBLS376,https://www.ebi.ac.uk/metabolights/editor/MTBLS376,m_mtbls376_POS_mass_spectrometry_v2_maf.tsv,Factor Value[Antibiotic treatment],treatment,treated with antibiotics,untreated,6210 TOF LC/MS (Agilent),?,"Dairy Science and Technology Institute, Kyodo Milk Industry Co. Ltd.",Mus musculus,Mus musculus,2017-02-20,40.0,38.0,78,51,0.6538461538461539,1.0,0.9595734126984128,1.0,PLSDA,multivariate models performs better than univariate models,phenotype description  antibiotic treatment  values  treated with antibiotics  untreated  organism  mus musculus,0.0150218472298841,0.3330272176627616
