,id,file,n samples,n features,metadata column,1 label,0 label,Study Assay Technology Platform,affiliation,release date,organism,baseline majoritary score,best univariate score,best method score,best algo name,best algo score,tendency,number of algos runned,n zeros in y,n ones in y,best linear-based algo name,best linear-based algo score,best rule-based algo name,best rule-based algo score,technique category,organism curated,organism category,phenotype description combined,embeddings_PC0,embeddings_PC1,phenotype keyword,difference ML univariate,absolute difference |ML - univariate|,best overall score,fatness,is fat,release year,difference rule-based - linear-based,structure of best method
MTBLS1410-MTBLS1410agerelatedmaculardegenerationmetaboliteprofilingNMRspectroscopy-C57BL6-Transgenicmousestrain,MTBLS1410,m_MTBLS1410_age_related_macular_degeneration_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,27,31,Factor Value[Tmem135 status],C57BL/6,Transgenic mouse strain,NMR,"School of Clinical Medicine, University of Cambridge + University of Wisconsin-Madison",2021-02-12,Mus musculus,0.5,0.7,0.7,rSCM,0.6572916666666666,univariate models performs better than multivariate models,?,12.0,15.0,SVMrbf,0.6322916666666667,rSCM,0.6572916666666666,NMR,Mus musculus,Mus musculus,phenotype description  tmem135 status  values  c57bl/6  transgenic mouse strain  organism  mus musculus,0.05868457778118239,0.1776351007357089,mutation,-0.04270833333333335,0.04270833333333335,0.7,1.1481481481481481,True,2021,0.02499999999999991,univariate
MTBLS1410-MTBLS1410agerelatedmaculardegenerationmetaboliteprofilingNMRspectroscopy-Transgenicmousestrain-Mutantstrain,MTBLS1410,m_MTBLS1410_age_related_macular_degeneration_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,27,31,Factor Value[Tmem135 status],Transgenic mouse strain,Mutant strain,NMR,"School of Clinical Medicine, University of Cambridge + University of Wisconsin-Madison",2021-02-12,Mus musculus,0.5,0.74375,0.74375,AdaBoost,0.74375,multivariate and univariate models are equivalent,?,15.0,12.0,SVMlinear,0.5739583333333333,AdaBoost,0.74375,NMR,Mus musculus,Mus musculus,phenotype description  tmem135 status  values  transgenic mouse strain  mutant strain  organism  mus musculus,0.04379499278994177,0.18311506078468104,mutation,0.0,0.0,0.74375,1.1481481481481481,True,2021,0.16979166666666667,univariate
MTBLS144-mtbls144metaboliteprofilingmassspectrometry1-withThalassiosira-cellfreecontrol,MTBLS144,m_mtbls144_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv,36,12443,Factor Value[control],with Thalassiosira,cell-free control,Thermo Scientific LTQ FT Ultra,Woods Hole Oceanographic Institution,2014-12-12,Thalassiosira pseudonana,0.5,0.971875,0.971875,AdaBoost,0.9510416666666667,univariate models performs better than multivariate models,?,12.0,24.0,SVMlinear,0.696875,AdaBoost,0.9510416666666667,LCMS,other or unknown,other or unknown,phenotype description  control  values  with thalassiosira  cell-free control  organism  thalassiosira pseudonana,-0.15556367196412293,0.13366283183421332,other,-0.02083333333333337,0.02083333333333337,0.971875,345.6388888888889,True,2014,0.25416666666666665,univariate
MTBLS1443-MTBLS1443LCMSnegativereversephasemetaboliteprofiling-Aglianico-RabosoPiave,MTBLS1443,m_MTBLS1443_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv,20,87,Factor Value[Cultivar],Aglianico,Raboso Piave,Liquid Chromatography MS - NEG - reverse phase,Fondazione Edmund Mach,2020-04-06,Vitis vinifera,0.5,1.0,1.0,AdaBoost,1.0,multivariate and univariate models are equivalent,?,10.0,10.0,SVMlinear,1.0,AdaBoost,1.0,LCMS,Plants,plants,phenotype description  cultivar  values  aglianico  raboso piave  organism  vitis vinifera,-0.3216929107358227,-0.29816810336336563,cultivar,0.0,0.0,1.0,4.35,True,2020,0.0,univariate
MTBLS1443-MTBLS1443LCMSnegativereversephasemetaboliteprofiling-Sangiovese-Nebbiolo,MTBLS1443,m_MTBLS1443_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv,30,87,Factor Value[Cultivar],Sangiovese,Nebbiolo,Liquid Chromatography MS - NEG - reverse phase,Fondazione Edmund Mach,2020-04-06,Vitis vinifera,0.5,1.0,1.0,AdaBoost,1.0,multivariate and univariate models are equivalent,?,11.0,19.0,PLSDA,1.0,AdaBoost,1.0,LCMS,Plants,plants,phenotype description  cultivar  values  sangiovese  nebbiolo  organism  vitis vinifera,-0.2799368723054466,-0.3120704999771229,cultivar,0.0,0.0,1.0,2.9,True,2020,0.0,univariate
MTBLS1443-MTBLS1443LCMSnegativereversephasemetaboliteprofiling-Teroldego-Primitivo,MTBLS1443,m_MTBLS1443_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv,22,87,Factor Value[Cultivar],Teroldego,Primitivo,Liquid Chromatography MS - NEG - reverse phase,Fondazione Edmund Mach,2020-04-06,Vitis vinifera,0.5,1.0,1.0,SVMlinear,1.0,multivariate and univariate models are equivalent,?,11.0,11.0,SVMlinear,1.0,rSCM,1.0,LCMS,Plants,plants,phenotype description  cultivar  values  teroldego  primitivo  organism  vitis vinifera,-0.2819958154761186,-0.3344743071062072,cultivar,0.0,0.0,1.0,3.9545454545454546,True,2020,0.0,univariate
MTBLS1452-MTBLS1452UrineNMRmetaboliteprofiling-lowproteindiet-control,MTBLS1452,m_MTBLS1452_Urine_NMR_metabolite_profiling_v2_maf.tsv,60,18,Factor Value[Diet],low protein diet,control,NMR,"Wellness & Nutrition Science Institute, Morinaga Milk Industry Co.",2021-05-27,Rattus norvegicus,0.5,0.917559523809524,0.9367559523809523,RF,0.9367559523809523,multivariate and univariate models are equivalent,?,30.0,30.0,SVMrbf,0.9029017857142858,RF,0.9367559523809523,NMR,other mammals,mammals,phenotype description  diet  values  low protein diet  control  organism  rattus norvegicus,-0.03233260153401304,0.26803314629491165,diet,0.019196428571428337,0.019196428571428337,0.9367559523809523,0.3,False,2021,0.03385416666666652,univariate
MTBLS1455-MTBLS1455LCMSpositivereversephasemetaboliteprofiling-RiverHoltemme-otherRivers,MTBLS1455,m_MTBLS1455_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv,51,248,Factor value[River],Holtemme,not applicable,Liquid Chromatography MS - positive - reverse phase,Helmholtz Centre for Environmental Research - UFZ,2020-05-26,environment,0.5,0.8248511904761904,0.870436507936508,GBtree,0.870436507936508,multivariate models performs better than univariate models,?,28.0,23.0,SVMlinear,0.7898809523809524,GBtree,0.870436507936508,LCMS,multiple,other or unknown,phenotype description  river  values  holtemme  not applicable  organism  environment,-0.1005347015091584,-0.0066202942831883145,other,0.045585317460317576,0.045585317460317576,0.870436507936508,4.862745098039215,True,2020,0.0805555555555556,rule-based multivariate
MTBLS1464-MTBLS1464metaboliteprofilingmassspectrometry-chronicprogressivemultiplesclerosis-HealthyControl,MTBLS1464,m_MTBLS1464_metabolite_profiling_mass_spectrometry_v2_maf.tsv,147,8,Factor Value[Phenotype],chronic progressive multiple sclerosis,Healthy Control,LCMS,"Uppsala University, Department of Medical Sciences",2023-05-31,Homo sapiens,0.5,0.5973819228778467,0.6486645962732919,SVMlinear,0.6486645962732919,multivariate models performs better than univariate models,?,49.0,98.0,SVMlinear,0.6486645962732919,XGBoost,0.6338478045203588,LCMS,Homo sapiens,Homo sapiens,phenotype description  phenotype  values  chronic progressive multiple sclerosis  healthy control  organism  homo sapiens,0.28309301049004765,-0.027372958083618053,other,0.05128267339544512,0.05128267339544512,0.6486645962732919,0.05442176870748299,False,2023,-0.014816791752933045,linear-based multivariate
MTBLS1464-MTBLS1464metaboliteprofilingmassspectrometry-chronicprogressivemultiplesclerosis-relapsingremittingmultiplesclerosis,MTBLS1464,m_MTBLS1464_metabolite_profiling_mass_spectrometry_v2_maf.tsv,133,8,Factor Value[Phenotype],chronic progressive multiple sclerosis,relapsing-remitting multiple sclerosis,LCMS,"Uppsala University, Department of Medical Sciences",2023-05-31,Homo sapiens,0.5,0.6429482797903852,0.7897454929938482,SVMrbf,0.7897454929938482,multivariate models performs better than univariate models,?,35.0,98.0,SVMrbf,0.7897454929938482,RF,0.761479693552062,LCMS,Homo sapiens,Homo sapiens,phenotype description  phenotype  values  chronic progressive multiple sclerosis  relapsing-remitting multiple sclerosis  organism  homo sapiens,0.28978499471588304,-0.08267232094406256,other,0.14679721320346306,0.14679721320346306,0.7897454929938482,0.06015037593984962,False,2023,-0.0282657994417862,linear-based multivariate
MTBLS1464-MTBLS1464metaboliteprofilingmassspectrometry-relapsingremittingmultiplesclerosis-HealthyControl,MTBLS1464,m_MTBLS1464_metabolite_profiling_mass_spectrometry_v2_maf.tsv,84,8,Factor Value[Phenotype],relapsing-remitting multiple sclerosis,Healthy Control,LCMS,"Uppsala University, Department of Medical Sciences",2023-05-31,Homo sapiens,0.5,0.6721523268398268,0.6721523268398268,rSCM,0.6283121392496392,univariate models performs better than multivariate models,?,49.0,35.0,SVMrbf,0.6212346681096681,rSCM,0.6283121392496392,LCMS,Homo sapiens,Homo sapiens,phenotype description  phenotype  values  relapsing-remitting multiple sclerosis  healthy control  organism  homo sapiens,0.2777844803112642,-0.015355171859693309,other,-0.043840187590187596,0.043840187590187596,0.6721523268398268,0.09523809523809523,False,2023,0.007077471139971148,univariate
MTBLS149-wddshacpumetaboliteprofilingNMRspectroscopy-ControlGroup-cholestasis,MTBLS149,m_wddshacpu_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,421,535,Factor Value[cholestasis],Control Group,intrahepatic cholestasis,Bruker,unknown,2016-06-08,Rattus norvegicus,0.5,0.9094935825400648,0.9909158273536353,XGBoost,0.9909158273536353,multivariate models performs better than univariate models,?,280.0,141.0,SVMlinear,0.9782910422026129,XGBoost,0.9909158273536353,other,other mammals,mammals,phenotype description  cholestasis  values  control group  intrahepatic cholestasis  organism  rattus norvegicus,-0.01205280708540813,0.20317483920676235,other,0.08142224481357041,0.08142224481357041,0.9909158273536353,1.2707838479809976,True,2016,0.012624785151022389,rule-based multivariate
MTBLS149-wddshacpumetaboliteprofilingNMRspectroscopy-extrahepaticcholestasis-intrahepaticcholestasis,MTBLS149,m_wddshacpu_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,280,535,Factor Value[cholestasis],extrahepatic cholestasis,intrahepatic cholestasis,Bruker,unknown,2016-06-08,Rattus norvegicus,0.5,0.8461078478719609,0.9904232804232804,RF,0.9904232804232804,multivariate models performs better than univariate models,?,154.0,126.0,SVMlinear,0.9892628061529272,RF,0.9904232804232804,other,other mammals,mammals,phenotype description  cholestasis  values  extrahepatic cholestasis  intrahepatic cholestasis  organism  rattus norvegicus,-0.008471641449349502,0.1360913013857698,other,0.1443154325513195,0.1443154325513195,0.9904232804232804,1.9107142857142858,True,2016,0.0011604742703532622,rule-based multivariate
MTBLS15-v2maf-saltafter8days-nosalt,MTBLS15,m_Metabolomic responses to long-term salt stress in related Lotus species (B)_v2_maf.tsv,95,47,Factor Value[Salt_Quantity_after_08d],50,0,GC-MS,"Max Planck Institute of Molecular Plant Physiology, Potsdam, Germany",2015-09-14,?,0.5,0.8706439393939394,0.9869791666666666,ElasticNet,0.9869791666666666,multivariate models performs better than univariate models,?,48.0,47.0,PLSDA,0.9791666666666666,GBtree,0.974352904040404,GCMS,other or unknown,other or unknown,phenotype description  salt_quantity_after_08d  values  50  0  organism  nan,-0.24262720643178923,0.15751692375627127,other,0.11633522727272727,0.11633522727272727,0.9869791666666666,0.49473684210526314,False,2015,-0.004813762626262652,linear-based multivariate
MTBLS1507-MTBLS1507metaboliteprofilingmassspectrometry-Treatment10-Treatmentcontrol,MTBLS1507,m_MTBLS1507_metabolite_profiling_mass_spectrometry_v2_maf.tsv,24,28,Factor Value[3BP Treatment],10,control,"GC-(triple quadrupole)MS, TQ8040, Shimadzu","European Molecular Biology Laboratory, EMBL, Heidelberg, Germany",2021-09-14,Mus musculus,0.5,0.84375,0.90625,SVMlinear,0.90625,multivariate models performs better than univariate models,?,12.0,12.0,SVMlinear,0.90625,GBtree,0.8854166666666666,GCMS,Mus musculus,Mus musculus,phenotype description  3bp treatment  values  10  control  organism  mus musculus,0.013417642208024577,0.25462487018963753,treatment,0.0625,0.0625,0.90625,1.1666666666666667,True,2021,-0.02083333333333337,linear-based multivariate
MTBLS1507-MTBLS1507metaboliteprofilingmassspectrometry-Treatment250-Treatment50,MTBLS1507,m_MTBLS1507_metabolite_profiling_mass_spectrometry_v2_maf.tsv,24,28,Factor Value[3BP Treatment],250,50,"GC-(triple quadrupole)MS, TQ8040, Shimadzu","European Molecular Biology Laboratory, EMBL, Heidelberg, Germany",2021-09-14,Mus musculus,0.5,0.9583333333333331,1.0,SVMlinear,1.0,multivariate models performs better than univariate models,?,12.0,12.0,SVMlinear,1.0,XGBoost,0.984375,GCMS,Mus musculus,Mus musculus,phenotype description  3bp treatment  values  250  50  organism  mus musculus,-0.0003111678473684328,0.22823774314071962,treatment,0.04166666666666685,0.04166666666666685,1.0,1.1666666666666667,True,2021,-0.015625,linear-based multivariate
MTBLS151-brownplanthopperinfestationinricemetaboliteprofilingNMRspectroscopy-brownplanthoppertreatmentYES-brownplanthoppertreatmentNO,MTBLS151,m_brown_planthopper_infestation_in_rice_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,120,25,Factor Value[brown planthopper treatment],YES,NO,Bruker,"National Center for Genetic Engineering and Biotechnology + School of Biological Sciences, Queen’s University Belfast",2016-11-25,Oryza sativa,0.5,0.6681883220945721,0.7444596202408702,GBtree,0.7444596202408702,multivariate models performs better than univariate models,?,60.0,60.0,SVMrbf,0.704920686951937,GBtree,0.7444596202408702,other,Plants,plants,phenotype description  brown planthopper treatment  values  yes  no  organism  oryza sativa,-0.2478477695972643,-0.10098503044038708,treatment,0.07627129814629807,0.07627129814629807,0.7444596202408702,0.20833333333333334,False,2016,0.03953893328893321,rule-based multivariate
MTBLS155-mtbls155NEGmetaboliteprofilingmassspectrometry-withSynechococcus-cellfreecontrol,MTBLS155,m_mtbls155_NEG_metabolite_profiling_mass_spectrometry_v2_maf.tsv,34,17127,Factor Value[control],with Synechococcus,cell-free control,Thermo Scientific LTQ FT Ultra,Woods Hole Oceanographic Institution,2015-01-26,Synechococcus elongatus,0.5,1.0,1.0,DT,1.0,multivariate and univariate models are equivalent,?,12.0,22.0,PLSDA,0.8395833333333333,DT,1.0,LCMS,Bacteria,Bacteria,phenotype description  control  values  with synechococcus  cell-free control  organism  synechococcus elongatus,-0.17085368138118626,0.09214531712683775,other,0.0,0.0,1.0,503.7352941176471,True,2015,0.16041666666666665,univariate
MTBLS1550-MTBLS1550LCMS-Avrstreptomycinandtetracycline-Virstreptomycin,MTBLS1550,m_MTBLS1550_LC-MS_v2_maf.tsv,24,907,Factor Value[Treatment],Avr (streptomycin and tetracycline),Vir (streptomycin),Liquid Chromatography MS - alternating - reverse phase,unknown,2020-05-14,Arabidopsis thaliana,0.5,1.0,1.0,GBtree,1.0,multivariate and univariate models are equivalent,?,12.0,12.0,SVMlinear,1.0,GBtree,1.0,LCMS,Plants,plants,phenotype description  treatment  values  avr (streptomycin and tetracycline)  vir (streptomycin)  organism  arabidopsis thaliana,-0.2874740555507706,0.07641550555513418,treatment,0.0,0.0,1.0,37.791666666666664,True,2020,0.0,univariate
MTBLS1550-MTBLS1550LCMS-CKmockcontrol-Avrstreptomycinandtetracycline,MTBLS1550,m_MTBLS1550_LC-MS_v2_maf.tsv,24,907,Factor Value[Treatment],CK (mock-control),Avr (streptomycin and tetracycline),Liquid Chromatography MS - alternating - reverse phase,unknown,2020-05-14,Arabidopsis thaliana,0.5,1.0,1.0,GBtree,1.0,multivariate and univariate models are equivalent,?,12.0,12.0,PLSDA,1.0,GBtree,1.0,LCMS,Plants,plants,phenotype description  treatment  values  ck (mock-control)  avr (streptomycin and tetracycline)  organism  arabidopsis thaliana,-0.26677801271360585,0.10938579120332623,treatment,0.0,0.0,1.0,37.791666666666664,True,2020,0.0,univariate
MTBLS1550-MTBLS1550LCMS-CKmockcontrol-Virstreptomycin,MTBLS1550,m_MTBLS1550_LC-MS_v2_maf.tsv,24,907,Factor Value[Treatment],CK (mock-control),Vir (streptomycin),Liquid Chromatography MS - alternating - reverse phase,unknown,2020-05-14,Arabidopsis thaliana,0.5,1.0,1.0,AdaBoost,1.0,multivariate and univariate models are equivalent,?,12.0,12.0,PLSDA,1.0,AdaBoost,1.0,LCMS,Plants,plants,phenotype description  treatment  values  ck (mock-control)  vir (streptomycin)  organism  arabidopsis thaliana,-0.2544949990685464,0.10772427874853265,treatment,0.0,0.0,1.0,37.791666666666664,True,2020,0.0,univariate
MTBLS1550-MTBLS1550LCMS-distal-local,MTBLS1550,m_MTBLS1550_LC-MS_v2_maf.tsv,36,907,Factor Value[Leaf location],distal,local,Liquid Chromatography MS - alternating - reverse phase,unknown,2020-05-14,Arabidopsis thaliana,0.5,1.0,1.0,GBtree,1.0,multivariate and univariate models are equivalent,?,18.0,18.0,SVMlinear,1.0,GBtree,1.0,LCMS,Plants,plants,phenotype description  leaf location  values  distal  local  organism  arabidopsis thaliana,-0.2960375596238647,-0.20413630155346227,location,0.0,0.0,1.0,25.194444444444443,True,2020,0.0,univariate
MTBLS157-rpom3metaboliteprofilingmassspectrometry1-carbonsourcePropionate-carbonsourceDMSP,MTBLS157,m_rpom3_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv,30,9220,Factor Value[carbon source],Propionate,DMSP,Thermo Scientific LTQ FT Ultra,Woods Hole Oceanographic Institution,2015-01-29,Ruegeria pomeroyi,0.5,1.0,1.0,AdaBoost,1.0,multivariate and univariate models are equivalent,?,15.0,15.0,PLSDA,0.7354166666666666,AdaBoost,1.0,LCMS,Bacteria,Bacteria,phenotype description  carbon source  values  propionate  dmsp  organism  ruegeria pomeroyi,-0.2864936937608683,0.057278562003039726,other,0.0,0.0,1.0,307.3333333333333,True,2015,0.2645833333333334,univariate
MTBLS158-NEG2metaboliteprofilingmassspectrometry-CHTP12-THS22,MTBLS158,m__NEG_2_metabolite_profiling_mass_spectrometry_v2_maf.tsv,36,658,Factor Value[Treatment],CHTP1.2,THS2.2,Q Exactive,Philip Morris International Research Laboratories Pte. Ltd,2020-04-25,Mus musculus,0.5,0.8166666666666668,0.8166666666666668,ElasticNet,0.5927083333333334,univariate models performs better than multivariate models,?,18.0,18.0,PLSDA,0.5145833333333333,RF,0.5697916666666667,LCMS,Mus musculus,Mus musculus,phenotype description  treatment  values  chtp1.2  ths2.2  organism  mus musculus,0.07685885925667175,0.19194374222657928,treatment,-0.22395833333333337,0.22395833333333337,0.8166666666666668,18.27777777777778,True,2020,0.055208333333333415,univariate
MTBLS16-v2maf-Lotusjaponicus-otherLotus,MTBLS16,m_Metabolomic responses to long-term salt stress in related Lotus species (C)_v2_maf.tsv,83,42,Characteristics[Organism],Lotus japonicus,Lotus filicaulis,GC-MS,"Max Planck Institute of Molecular Plant Physiology, Potsdam, Germany",2015-09-14,?,0.5,0.9026766636141638,0.9828125,PLSDA,0.9828125,multivariate models performs better than univariate models,?,59.0,24.0,PLSDA,0.9828125,GBtree,0.9762686965811966,GCMS,other or unknown,other or unknown,phenotype description  organism  values  lotus japonicus  lotus filicaulis  organism  nan,-0.2465113332541853,-0.00589304982298554,other,0.08013583638583621,0.08013583638583621,0.9828125,0.5060240963855421,False,2015,-0.00654380341880334,linear-based multivariate
MTBLS16-v2maf-saltafter8days-nosalt,MTBLS16,m_Metabolomic responses to long-term salt stress in related Lotus species (C)_v2_maf.tsv,83,42,Factor Value[Salt_Quantity_after_08d],50,0,GC-MS,"Max Planck Institute of Molecular Plant Physiology, Potsdam, Germany",2015-09-14,?,0.5,0.9832589285714286,1.0,GBtree,1.0,multivariate and univariate models are equivalent,?,42.0,41.0,PLSDA,0.9852430555555556,GBtree,1.0,GCMS,other or unknown,other or unknown,phenotype description  salt_quantity_after_08d  values  50  0  organism  nan,-0.24262720643178923,0.15751692375627127,other,0.016741071428571397,0.016741071428571397,1.0,0.5060240963855421,False,2015,0.01475694444444442,univariate
MTBLS161-mecfsmetaboliteprofilingNMRspectroscopy-ChronicFatigueSyndrome-nonCFScontrol,MTBLS161,m_mecfs_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv,117,15,Factor Value[Chronic Fatigue Syndrome],CFS,non-CFS control,Bruker,?,2015-06-08,Homo sapiens,0.5,0.6572111354740031,0.6572111354740031,SVMlinear,0.6558871530838443,multivariate and univariate models are equivalent,?,49.0,68.0,SVMlinear,0.6558871530838443,XGBoost,0.6398766623490888,other,Homo sapiens,Homo sapiens,phenotype description  chronic fatigue syndrome  values  cfs  non-cfs control  organism  homo sapiens,0.2501182777972649,-0.005126667872438412,disease,-0.001323982390158851,0.001323982390158851,0.6572111354740031,0.1282051282051282,False,2015,-0.016010490734755467,univariate
MTBLS162-lypodystrophymetaboliteprofilingmassspectrometry-DiseaseStateLD-DiseaseStateCON,MTBLS162,m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv,41,26,Factor Value[Disease State],LD,CON,Exactive (Thermo Scientific),"Medical Research Council, Human Nutrition Research",2015-10-05,Homo sapiens,0.5,0.8739583333333333,0.9010416666666666,DT,0.9010416666666666,multivariate models performs better than univariate models,?,27.0,14.0,SVMlinear,0.7648809523809523,DT,0.9010416666666666,LCMS,Homo sapiens,Homo sapiens,phenotype description  disease state  values  ld  con  organism  homo sapiens,0.31078159299289426,-0.11912005321684863,disease,0.027083333333333348,0.027083333333333348,0.9010416666666666,0.6341463414634146,False,2015,0.1361607142857143,rule-based multivariate
MTBLS1627-MTBLS1627assay3LCMSnegativehilicmetaboliteprofiling-roflumilast-duloxetine,MTBLS1627,m_MTBLS1627_assay3_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv,224,13998,Factor Value[Drug],roflumilast,duloxetine,Liquid Chromatography MS - negative - hilic,"European Molecular Biology Laboratory, Heidelberg, Germany",2021-07-20,multiple (gut),0.5,0.8807035488653686,0.9558294290354823,SCMBoost,0.9558294290354823,multivariate models performs better than univariate models,?,112.0,112.0,SVMlinear,0.939198347254944,SCMBoost,0.9558294290354823,LCMS,multiple,other or unknown,phenotype description  drug  values  roflumilast  duloxetine  organism  multiple (gut),-0.001578827404029048,0.11449382006670729,other,0.07512588017011368,0.07512588017011368,0.9558294290354823,62.49107142857143,True,2021,0.016631081780538293,rule-based multivariate
MTBLS1629-MTBLS1629LCMSmetaboliteprofiling-nABX-control,MTBLS1629,m_MTBLS1629_LC-MS_metabolite_profiling_v2_maf.tsv,30,3827,Factor Value[Treatment],nABX,control,Liquid Chromatography MS,"European Molecular Biology Laboratory (EMBL), Epigenetics & Neurobiology Unit, Rome, Italy",2024-02-12,Mus musculus,0.5,0.8885416666666667,0.8885416666666667,PLSDA,0.778125,univariate models performs better than multivariate models,?,15.0,15.0,PLSDA,0.778125,RF,0.6854166666666667,LCMS,Mus musculus,Mus musculus,phenotype description  treatment  values  nabx  control  organism  mus musculus,0.006720806788914298,0.3265700644748988,treatment,-0.11041666666666672,0.11041666666666672,0.8885416666666667,127.56666666666666,True,2024,-0.09270833333333328,univariate
MTBLS1636-MTBLS1636GCMSmetaboliteprofiling-WithDoxycycline-WithoutDoxycycline,MTBLS1636,m_MTBLS1636_GC-MS___metabolite_profiling_v2_maf.tsv,32,356,Factor Value[Treatment],With Doxycycline,Without Doxycycline,GCMS,University of Manchester,2020-10-15,Aspergillus fumigatus,0.5,1.0,1.0,GBtree,1.0,multivariate and univariate models are equivalent,?,16.0,16.0,PLSDA,1.0,GBtree,1.0,GCMS,other or unknown,other or unknown,phenotype description  treatment  values  with doxycycline  without doxycycline  organism  aspergillus fumigatus,-0.09602278176706822,0.16501236304206437,treatment,0.0,0.0,1.0,11.125,True,2020,0.0,univariate
MTBLS1679-MTBLS1679LCMSnegativehilicmetaboliteprofiling-B-GermFree,MTBLS1679,m_MTBLS1679_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv,26,100,Factor Value[Gnotobiotic Model],B,Germ-Free,Liquid Chromatography MS - negative - hilic,unknown,2022-01-14,Mus musculus,0.5,0.846875,0.88125,SCM,0.88125,multivariate models performs better than univariate models,?,12.0,14.0,SVMrbf,0.765625,SCM,0.88125,LCMS,Mus musculus,Mus musculus,phenotype description  gnotobiotic model  values  b  germ-free  organism  mus musculus,0.022931877906865003,0.21680370970151114,other,0.03437499999999993,0.03437499999999993,0.88125,3.8461538461538463,True,2022,0.11562499999999998,rule-based multivariate
MTBLS1679-MTBLS1679LCMSnegativehilicmetaboliteprofiling-BY-B,MTBLS1679,m_MTBLS1679_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv,35,100,Factor Value[Gnotobiotic Model],B+Y,B,Liquid Chromatography MS - negative - hilic,unknown,2022-01-14,Mus musculus,0.5,0.8854166666666666,0.8854166666666666,RF,0.8854166666666666,multivariate and univariate models are equivalent,?,14.0,21.0,SVMlinear,0.828125,RF,0.8854166666666666,LCMS,Mus musculus,Mus musculus,phenotype description  gnotobiotic model  values  b+y  b  organism  mus musculus,0.00812966811879831,0.18325957635510925,other,0.0,0.0,0.8854166666666666,2.857142857142857,True,2022,0.05729166666666663,univariate
MTBLS1679-MTBLS1679LCMSnegativehilicmetaboliteprofiling-BY-GermFree,MTBLS1679,m_MTBLS1679_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv,33,100,Factor Value[Gnotobiotic Model],B+Y,Germ-Free,Liquid Chromatography MS - negative - hilic,unknown,2022-01-14,Mus musculus,0.5,1.0,1.0,ElasticNet,1.0,multivariate and univariate models are equivalent,?,12.0,21.0,PLSDA,1.0,SCM,1.0,LCMS,Mus musculus,Mus musculus,phenotype description  gnotobiotic model  values  b+y  germ-free  organism  mus musculus,0.00954263400849294,0.22049950162427231,other,0.0,0.0,1.0,3.0303030303030303,True,2022,0.0,univariate
MTBLS1698-MTBLS1698POSLCMShilicmetaboliteprofiling-Supplementaryfeeding-Control,MTBLS1698,m_MTBLS1698_POS_LC-MS_hilic_metabolite_profiling_v2_maf.tsv,35,41,Factor Value[Diet],Supplementary feeding,Control,Liquid Chromatography MS - POS - HILIC,Gansu Agricultural University,2020-06-05,Sus scrofa,0.5,0.8374999999999999,0.9583333333333333,SVMlinear,0.9583333333333333,multivariate models performs better than univariate models,?,17.0,18.0,SVMlinear,0.9583333333333333,GBtree,0.8427083333333333,LCMS,other mammals,mammals,phenotype description  diet  values  supplementary feeding  control  organism  sus scrofa,-0.06553698562059494,0.06899722123425701,diet,0.12083333333333335,0.12083333333333335,0.9583333333333333,1.1714285714285715,True,2020,-0.11562499999999998,linear-based multivariate
MTBLS17-mtbls17posmetaboliteprofilingmassspectrometryv2maf-CRR-HCC,MTBLS17,m_live_mtbls17pos_metabolite profiling_mass spectrometry_v2_maf.tsv,524,7,Factor Value[Disease],CRR,HCC,UPLC Q-TOF Premier (Waters),Georgetown university,2013-06-30,?,0.5,0.5087170708884329,0.7241026802049599,XGBoost,0.7241026802049599,multivariate models performs better than univariate models,?,156.0,368.0,SVMrbf,0.7223947151142319,XGBoost,0.7241026802049599,LCMS,other or unknown,other or unknown,phenotype description  disease  values  crr  hcc  organism  nan,0.02370330801380201,0.1736454804408754,disease,0.21538560931652706,0.21538560931652706,0.7241026802049599,0.013358778625954198,False,2013,0.0017079650907280142,rule-based multivariate
